"G.U.Pope & Co - Commentary",Transliteration,T.Kannan,"Yogi Shuddhananda Bharatiyar","G.U.Pope & Co - Poems","Ramachandra Dikshitar","Satguru Sivaya Subramuniyaswami","Various Translators",Dinamalar
"Manuring is better than ploughing; after weeding, watching is better than watering (it).","Better manure than plough; then weed; 
Than irrigating, better guard.","To cast manure is better than to plough;
Weed well; to guard is more than watering now.","It is better to fertilize than to furrow a field. After weeding, it is more important to watch over a field than even to water it.","Manuring is crucial than ploughing. After weeding,
Protection is crucial than watering.","After weeding, let the land be guarded, for more important than water is the protection of crops.","Manuring is crucial than ploughing. After
weeding, Protection is crucial than watering.","Worthier than ploughing is to manure the field; Weeding done, worthier than watering is to secure the yield.","Erinum Nandraal Eruvitudhal Kattapin
Neerinum Nandradhan Kaappu"
"If landsmen sit sans moving about 
The field like wife will sulk and pout.","When master from the field aloof hath stood;
Then land will sulk , like wife in angry mood.","If the lord of the land fails to visit his fields, they will sulk as surely as a neglected wife.","The land neglected by its owner puts on the appearance of a sulky woman abandoned by her lord.","If the landlord neglects his field visits,
The angry land will sulk like a neglected wife.","If the landlord neglects his field visits,
The angry land will sulk like a neglected wife.","If from the land, her master stays off Like a wife, she’ll sulk and start a tiff.","If the owner does not (personally) attend to his cultivation, his land will behave like an angry wife and yield him no pleasure.","Sellaan Kizhavan Iruppin
Nilampulandhu
Illaalin Ooti Vitum"
"Ilamendru Asaii Iruppaaraik Kaanin
Nilamennum Nallaal Nakum","Fair good earth will laugh to see 
Idlers pleading poverty.","The earth, that kindly dame, will laugh to see,
Men seated idle pleading poverty.","Mother Earth laughs when she sees lazy men crying, “We are so poor.”","Mother earth laughs in scorn at those who plead poverty","Mother Earth laughs at the sight of those
Who remain idle pleading poverty.","The maiden, Earth, will laug h at the sight of those who plead poverty and lead an idle life.","Mother Earth laughs at the sight of those
Who remain idle pleading poverty.","Seeing them say, We have not and loiter The Fair Lady Earth scorns them with laughter."
"If you ask, what torments more than poverty: Only poverty can torment more than poverty.","Inmaiyin Innaadhadhu Yaadhenin
Inmaiyin
Inmaiye Innaa Thadhu","What gives more pain than scarcity?
No pain pinches like poverty.","There is no greater evil than poverty!","You ask what sharper pain than poverty is known;
Nothing pains more than poverty, save poverty alone.","Ask what is more miserable than being poor, and the answer comes—only poverty pains like poverty.","What is more painful than poverty?
The pain of poverty itself!","There is nothing that afflicts (one) like poverty.","What is more painful than poverty? The
pain of poverty itself!"
"The demon of poverty takes away The joys
of this life and the next.","Poverty is a wretch; This life and the next does it snatch.","Inmai Enavoru Paavi Marumaiyum
Immaiyum Indri Varum","Poverty is an evil which blasts at once the joys of earth and of heaven.","The sinner Want is enemy dire 
Of joys of earth and heaven there.","Malefactor matchless! poverty destroys
This world's and the next world's joys.","Poverty, the cruelest of demons, deprives a man of every joy in this life, then takes them from the next life.","The demon of poverty takes away
The joys of this life and the next.","When cruel poverty comes on, it deprives one of both the present and future (bliss)."
"That cancer called poverty destroys at
once The honor of ancient descent and clout.","Ancestral legacy and parlance crumble in totality Due to hankering caused by poverty.","Poverty which springs of avarice ruins one’s ancestry and its fair name.","Tholvaravum Tholum Ketukkum
Thokaiyaaka
Nalkuravu Ennum Nasai","The craving itch of poverty 
Kills graceful words and ancestry.","Importunate desire, which poverty men name,
Destroys both old descent and goodly fame.","Craving, another name for poverty, will obliterate at once ancestral honor and dignity of speech.","Hankering poverty destroys at once the greatness of (one's) ancient descent and (the dignity of one's) speech.","That cancer called poverty destroys at once
The honor of ancient descent and clout."
"Dejection due to poverty makes the noble utter the language of the base.","Even in those of high birth, poverty will
produce The fault of uttering mean words.","From the high-born too, vile words may be born When deprivation makes them so cast down.","Irpirandhaar Kanneyum Inmai
Ilivandha
Sorpirakkum Sorvu Tharum","Want makes even good familymen 
Utter words that are low and mean.","From penury will spring, 'mid even those of noble race,
Oblivion that gives birth to words that bring disgrace.","Privation produces unmindfulness, which gives birth to improper words, even in men of proper birth.","Even in those of high birth, poverty will produce the fault of uttering mean words.","Even in those of high birth, poverty will produce
The fault of uttering mean words."
"Poverty in itself an evil is the mother of all ills.","That misery called poverty brings with it
A diversity of sufferings.","From the one misery named penury Emanates many a worry.","Nalkuravu Ennum Itumpaiyul
Palkuraith
Thunpangal Sendru Patum","The pest of wanton poverty 
Brings a train of misery.","From poverty, that grievous woe,
Attendant sarrows plenteous grow.","The misery of poverty brings in its train many (more) miseries.","Poverty is that single sorrow which gives rise to a multitude of miseries.","That misery called poverty brings with it
A diversity of sufferings."
"The words of the poor, though born of experience and wisdom are not listened to.","A poor man's words carry no weight,
However meaningful and profound.","After deep reflection they may say words of deep essence Yet what the poor say may be seen to have no sense.","Narporul Nankunarndhu Sollinum
Nalkoorndhaar
Sorporul Sorvu Patum","The words of the poor are profitless, though they may be sound in thought and clear in expression.","The poor men's words are thrown away 
Though from heart good things they say.","Though deepest sense, well understood, the poor man's words convey,
Their sense from memory of mankind will fade away.","Even when the poor perceive profoundly and speak skillfully, their most meaningful words are always forgotten.","A poor man's words carry no weight,
However meaningful and profound."
"Poverty, destitute of all virtues, alienates a man
Even from the mother who bore him.","Poverty, destitute of all virtues,
alienates a man Even from the mother who bore him.","Poverty aligned to no virtue makes even one’s mother Who bore bore him, to see him as a misfit.","He that is reduced to absolute poverty will be regarded as a stranger even by his own mother.","Aranjaaraa Nalkuravu Eendradhaa
Yaanum
Piranpola Nokkap Patum","Even the mother looks as stranger 
The poor devoid of character.","From indigence devoid of virtue's grace,
The mother e'en that bare, estranged, will turn her face.","He who is impoverished and estranged from virtue will be regarded as a stranger even by his own mother.","Even a mother turns her back on one whose poverty is devoid of probity."
